Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-05-27,399.25,400.0,405.0,396.0,403.1,403.9,401.07,9035525,3.6238561221e+14,82737,3818131,0.4226
2016-05-30,403.9,404.8,423.6,401.3,423.0,421.25,415.18,15767133,6.5462056912e+14,186242,6783607,0.4302
2016-05-31,421.25,456.0,464.9,445.0,455.6,459.65,457.17,110744326,5.06294346328e+15,438702,73338482,0.6622
2016-06-01,459.65,455.75,458.3,445.0,446.8,449.2,452.7,10389215,4.70322367795e+14,140757,4679600,0.4504
2016-06-02,449.2,444.1,460.5,444.1,453.0,453.45,454.99,13674434,6.22168191665e+14,147002,5704701,0.4172
2016-06-03,453.45,458.05,461.8,452.5,452.55,453.95,457.01,11672544,5.33447947945e+14,110388,5895577,0.5051
2016-06-06,453.95,457.8,465.0,450.2,462.55,460.5,456.15,9356808,4.26807796235e+14,117496,3251389,0.3475
2016-06-07,460.5,466.45,466.45,459.0,463.2,463.05,462.35,12568902,5.81126172225e+14,119943,6078541,0.4836
2016-06-08,463.05,465.5,468.8,463.2,465.0,466.15,465.59,10467158,4.8733779574e+14,82424,4727977,0.4517
2016-06-09,466.15,469.45,470.25,465.0,467.0,467.15,467.17,8525017,3.9826046361e+14,73094,2848037,0.3341
2016-06-10,467.15,466.75,466.75,454.5,457.4,456.95,460.95,7039858,3.2450545921e+14,90106,2502464,0.3555
2016-06-13,456.95,451.0,451.4,436.7,444.55,444.25,442.07,9507282,4.20284340845e+14,92197,4103230,0.4316
2016-06-14,444.25,446.9,453.85,441.15,448.7,448.4,448.85,9615226,4.31575197495e+14,134160,3772548,0.3924
2016-06-15,448.4,449.9,453.0,447.25,451.55,452.1,450.48,5704865,2.56993248945e+14,71444,2666380,0.4674
2016-06-16,452.1,449.7,455.5,446.05,453.9,454.35,450.51,7255454,3.2686474256e+14,107017,3349838,0.4617
2016-06-17,454.35,461.0,465.75,457.3,463.65,464.4,462.54,7836702,3.62482610935e+14,128797,3988140,0.5089
2016-06-20,464.4,464.75,484.2,460.25,482.6,482.05,473.11,9261350,4.3816660052e+14,104212,3858579,0.4166
2016-06-21,482.05,484.0,486.2,477.6,484.3,484.9,482.43,8907801,4.29741624165e+14,95613,4803735,0.5393
2016-06-22,484.9,483.05,484.8,468.05,472.0,472.7,473.7,7660165,3.6286220701e+14,96495,3007835,0.3927
2016-06-23,472.7,476.1,489.9,476.1,487.75,487.95,483.17,9628216,4.6520209032e+14,131019,4226545,0.439
2016-06-24,487.95,439.2,453.75,421.25,447.7,449.4,439.3,40998600,1.80106523628e+15,330936,13288590,0.3241
2016-06-27,449.4,451.8,457.25,443.6,447.95,448.95,448.82,12450283,5.58792065245e+14,128652,3745912,0.3009
2016-06-28,448.95,448.0,448.0,433.0,441.0,440.4,441.08,10190394,4.4948159036e+14,128902,4748857,0.466
2016-06-29,440.4,447.1,449.8,445.4,447.0,447.25,447.44,6285461,2.81239030915e+14,79651,2624130,0.4175
2016-06-30,447.25,454.3,462.25,451.55,458.5,459.25,458.74,13214064,6.0617623482e+14,128591,7406521,0.5605
2016-07-01,459.25,463.6,464.75,454.7,459.1,457.9,458.85,7027759,3.2246952057e+14,87253,3438941,0.4893
2016-07-04,457.9,467.0,474.85,467.0,468.8,469.5,471.58,8413087,3.96746608615e+14,178631,3941626,0.4685
2016-07-05,469.5,468.5,469.0,459.5,460.5,460.9,462.42,4934087,2.2816445163e+14,60419,2419955,0.4905
2016-07-07,460.9,460.95,465.45,454.1,455.5,455.15,458.84,6580663,3.01949542245e+14,88253,2959956,0.4498
2016-07-08,455.15,464.3,468.2,462.65,466.3,466.3,465.37,9263727,4.3110854404e+14,105310,5229311,0.5645
2016-07-11,466.3,472.1,486.8,472.1,483.85,484.6,482.86,10477166,5.0590247805e+14,123496,5770021,0.5507
